code	lut_i32	sample14
464	226	57
465	227	57
466	227	57
467	228	57
468	228	57
469	229	57
470	229	57
471	230	58
472	230	58
473	231	58
474	231	58
475	232	58
476	232	58
477	233	58
478	233	58
479	234	59
480	234	59
481	235	59
482	235	59
483	236	59
484	236	59
485	236	59
486	237	59
487	237	59
488	238	60
489	238	60
490	239	60
491	239	60
492	240	60
493	240	60
494	241	60
495	241	60
496	242	61
497	242	61
498	243	61
499	243	61
500	244	61
501	244	61
502	245	61
503	245	61
504	246	62
505	246	62
506	247	62
507	247	62
508	247	62
509	248	62
510	248	62
511	249	62
512	249	62
513	250	63
514	250	63
515	251	63
516	251	63
517	252	63
518	252	63
519	253	63
520	253	63
521	254	64
522	254	64
523	255	64
524	255	64
525	256	64
526	256	64
527	257	64
528	257	64
529	258	65
530	258	65
531	258	65
532	259	65
533	259	65
534	260	65
535	260	65
536	261	65
537	261	65
538	262	66
539	262	66
540	263	66
541	263	66
542	264	66
543	264	66
544	265	66
545	265	66
546	266	67
547	266	67
548	267	67
549	267	67
550	268	67
551	268	67
552	268	67
553	269	67
554	269	67
555	270	68
556	270	68
557	271	68
558	271	68
559	272	68
560	272	68
561	273	68
562	273	68
563	274	69
564	274	69
565	275	69
566	275	69
567	276	69
568	276	69
569	277	69
570	277	69
571	278	70
572	278	70
573	279	70
574	279	70
575	279	70
576	280	70
577	280	70
578	281	70
579	281	70
580	282	71
581	282	71
582	283	71
583	283	71
584	284	71
585	284	71
586	285	71
587	285	71
588	286	72
589	286	72
590	287	72
591	287	72
592	288	72
593	288	72
594	289	72
595	289	72
596	290	73
597	290	73
598	290	73
599	291	73
600	291	73
601	292	73
602	292	73
603	293	73
604	293	73
605	294	74
606	294	74
607	295	74
608	295	74
609	296	74
610	296	74
611	297	74
612	297	74
613	298	75
614	298	75
615	299	75
616	299	75
617	300	75
618	300	75
619	301	75
620	301	75
621	301	75
622	302	76
623	302	76
624	303	76
625	303	76
626	304	76
627	304	76
628	305	76
629	305	76
630	306	77
631	306	77
632	307	77
633	307	77
634	308	77
635	308	77
636	309	77
637	309	77
638	310	78
639	310	78
640	311	78
641	311	78
642	312	78
643	312	78
644	312	78
645	313	78
646	313	78
647	314	79
648	314	79
649	315	79
650	315	79
651	316	79
652	316	79
653	317	79
654	317	79
655	318	80
656	318	80
657	319	80
658	319	80
659	320	80
660	320	80
661	321	80
662	321	80
663	322	81
664	322	81
665	322	81
666	323	81
667	323	81
668	324	81
669	324	81
670	325	81
671	325	81
672	326	82
673	326	82
674	327	82
675	327	82
676	328	82
677	328	82
678	329	82
679	329	82
680	330	83
681	330	83
682	331	83
683	331	83
684	332	83
685	332	83
686	333	83
687	333	83
688	333	83
689	334	84
690	334	84
691	335	84
692	335	84
693	336	84
694	336	84
695	337	84
696	337	84
697	338	85
698	338	85
699	339	85
700	339	85
701	340	85
702	340	85
703	341	85
704	341	85
705	342	86
706	342	86
707	343	86
708	343	86
709	344	86
710	344	86
711	344	86
712	345	86
713	345	86
714	346	87
715	346	87
716	347	87
717	347	87
718	348	87
719	348	87
720	349	87
721	349	87
722	350	88
723	350	88
724	351	88
725	351	88
726	352	88
727	352	88
728	353	88
729	353	88
730	354	89
731	354	89
732	355	89
733	355	89
734	355	89
735	356	89
736	356	89
737	357	89
738	357	89
739	358	90
740	358	90
741	359	90
742	359	90
743	360	90
744	360	90
745	361	90
746	361	90
747	362	91
748	362	91
749	363	91
750	363	91
751	364	91
752	364	91
753	365	91
754	365	91
755	365	91
756	366	92
757	366	92
758	367	92
759	367	92
760	368	92
761	368	92
762	369	92
763	369	92
764	370	93
765	370	93
766	371	93
767	371	93
768	372	93
769	372	93
770	373	93
771	373	93
772	374	94
773	374	94
774	375	94
775	375	94
776	376	94
777	376	94
778	376	94
779	377	94
780	377	94
781	378	95
782	378	95
783	379	95
784	379	95
785	380	95
786	380	95
787	381	95
788	381	95
789	382	96
790	382	96
791	383	96
792	383	96
793	384	96
794	384	96
795	385	96
796	385	96
797	386	97
798	386	97
799	387	97
800	387	97
801	387	97
802	388	97
803	388	97
804	389	97
805	389	97
806	390	98
807	390	98
808	391	98
809	391	98
810	392	98
811	392	98
812	393	98
813	393	98
814	394	99
815	394	99
816	395	99
817	395	99
818	396	99
819	396	99
820	397	99
821	397	99
822	398	100
823	398	100
824	398	100
825	399	100
826	399	100
827	400	100
828	400	100
829	401	100
830	401	100
831	402	101
832	402	101
833	403	101
834	403	101
835	404	101
836	404	101
837	405	101
838	405	101
839	406	102
840	406	102
841	407	102
842	407	102
843	408	102
844	408	102
845	409	102
846	409	102
847	409	102
848	410	103
849	410	103
850	411	103
851	411	103
852	412	103
853	412	103
854	413	103
855	413	103
856	414	104
857	414	104
858	415	104
859	415	104
860	415	104
861	416	104
862	416	104
863	417	104
864	417	104
865	418	105
866	418	105
867	419	105
868	419	105
869	420	105
870	420	105
871	421	105
872	421	105
873	421	105
874	422	106
875	422	106
876	423	106
877	423	106
878	424	106
879	424	106
880	425	106
881	425	106
